Date,Price,Open,High,Low,Vol.,Change %
25-May-21,1899.90,1877.95,1901.15,1873.30,-,1.16%
24-May-21,1878.05,1884.00,1887.80,1875.65,-,-0.32%
23-May-21,1884.15,1882.55,1884.50,1880.90,-,0.12%
21-May-21,1881.85,1874.30,1890.15,1870.30,-,0.40%
20-May-21,1874.35,1866.05,1884.50,1864.25,-,0.44%
19-May-21,1866.20,1870.30,1891.25,1852.50,-,-0.23%
18-May-21,1870.50,1869.35,1875.85,1863.75,-,0.05%
17-May-21,1869.55,1847.20,1869.75,1844.00,-,1.21%
16-May-21,1847.25,1844.05,1848.70,1842.80,-,0.18%
14-May-21,1843.85,1825.35,1845.40,1819.45,-,1.02%
13-May-21,1825.25,1817.25,1828.75,1808.45,-,0.43%
12-May-21,1817.50,1836.25,1844.65,1813.10,-,-1.02%
11-May-21,1836.15,1836.75,1842.45,1818.05,-,-0.04%
10-May-21,1836.85,1836.90,1846.15,1830.60,-,0.00%
9-May-21,1836.90,1832.10,1837.45,1832.10,-,0.27%
7-May-21,1831.95,1815.05,1844.40,1813.45,-,0.93%
6-May-21,1815.15,1785.25,1818.25,1781.90,-,1.68%
5-May-21,1785.15,1778.10,1788.10,1769.55,-,0.39%
4-May-21,1778.25,1792.30,1798.95,1770.35,-,-0.78%
3-May-21,1792.25,1768.40,1798.30,1766.75,-,1.35%
2-May-21,1768.45,1769.35,1769.40,1765.70,-,-0.01%
30-Apr-21,1768.60,1772.85,1772.85,1763.40,-,-0.24%
29-Apr-21,1772.85,1783.80,1789.85,1754.85,-,-0.02%
28-Apr-21,1773.20,1768.20,1774.00,1764.60,0.14K,-0.27%
27-Apr-21,1778.00,1780.00,1782.00,1777.70,0.12K,-0.07%
26-Apr-21,1779.20,1778.00,1779.70,1770.80,0.55K,0.12%
23-Apr-21,1777.00,1786.10,1794.50,1772.00,0.33K,-0.24%
22-Apr-21,1781.20,1794.20,1794.20,1779.50,0.16K,-0.62%
21-Apr-21,1792.30,1783.00,1794.10,1777.70,0.25K,0.84%
20-Apr-21,1777.30,1769.30,1776.30,1765.50,1.46K,0.45%
19-Apr-21,1769.40,1782.10,1788.50,1771.40,0.14K,-0.54%
16-Apr-21,1779.00,1770.40,1779.50,1770.10,0.63K,0.77%
15-Apr-21,1765.40,1740.10,1767.90,1740.10,0.37K,1.76%
14-Apr-21,1734.90,1741.30,1745.90,1732.70,1.04K,-0.65%
13-Apr-21,1746.20,1733.80,1746.90,1722.10,0.37K,0.87%
12-Apr-21,1731.20,1740.80,1740.80,1726.70,0.04K,-0.69%
9-Apr-21,1743.30,1750.80,1750.80,1733.30,0.48K,-0.77%
8-Apr-21,1756.80,1736.00,1758.00,1734.60,1.30K,0.96%
7-Apr-21,1740.10,1742.70,1742.70,1733.70,0.56K,-0.08%
6-Apr-21,1741.50,1726.90,1744.80,1726.90,0.89K,0.84%
5-Apr-21,1727.00,1727.90,1729.70,1721.90,0.28K,0.03%
1-Apr-21,1726.50,1706.80,1728.80,1706.40,0.72K,0.74%
31-Mar-21,1713.80,1683.70,1712.80,1676.50,0.76K,1.78%
30-Mar-21,1683.90,1711.00,1712.60,1676.50,25.32K,-1.65%
29-Mar-21,1712.20,1731.50,1732.60,1703.30,135.46K,-1.16%
26-Mar-21,1732.30,1725.50,1735.50,1718.80,172.94K,0.42%
25-Mar-21,1725.10,1733.20,1744.80,1720.30,226.21K,-0.47%
24-Mar-21,1733.20,1725.90,1737.70,1722.30,186.52K,0.47%
23-Mar-21,1725.10,1738.50,1742.00,1722.70,226.20K,-0.75%
22-Mar-21,1738.10,1745.60,1747.00,1726.40,196.31K,-0.21%
19-Mar-21,1741.70,1733.70,1746.10,1727.10,213.28K,0.53%
18-Mar-21,1732.50,1744.00,1754.20,1716.60,251.76K,0.31%
17-Mar-21,1727.10,1730.00,1750.60,1722.00,220.55K,-0.22%
16-Mar-21,1730.90,1730.70,1740.50,1724.40,173.89K,0.10%
15-Mar-21,1729.20,1726.50,1733.20,1719.20,163.05K,0.55%
12-Mar-21,1719.80,1720.50,1728.00,1696.60,232.21K,-0.16%
11-Mar-21,1722.60,1725.00,1738.00,1716.80,215.34K,0.05%
10-Mar-21,1721.80,1714.50,1725.30,1705.60,226.89K,0.29%
9-Mar-21,1716.90,1679.30,1718.70,1676.70,248.95K,2.32%
8-Mar-21,1678.00,1701.60,1712.00,1673.30,273.91K,-1.21%
5-Mar-21,1698.50,1695.30,1705.70,1683.00,269.33K,-0.13%
4-Mar-21,1700.70,1708.40,1721.60,1687.60,277.45K,-0.88%
3-Mar-21,1715.80,1736.50,1739.10,1699.40,255.65K,-1.03%
2-Mar-21,1733.60,1722.80,1737.80,1704.60,235.96K,0.62%
1-Mar-21,1723.00,1732.80,1757.40,1717.20,241.92K,-0.34%
26-Feb-21,1728.80,1770.90,1773.80,1714.90,362.55K,-2.62%
25-Feb-21,1775.40,1804.90,1805.00,1763.90,316.25K,-1.25%
24-Feb-21,1797.90,1805.00,1813.00,1782.20,224.06K,-0.44%
23-Feb-21,1805.90,1809.30,1815.20,1794.50,191.15K,-0.14%
22-Feb-21,1808.40,1782.00,1812.40,1778.60,221.20K,1.74%
19-Feb-21,1777.40,1774.60,1790.90,1759.00,251.78K,0.14%
18-Feb-21,1775.00,1776.00,1788.80,1766.60,224.77K,0.12%
17-Feb-21,1772.80,1793.10,1794.20,1767.90,257.34K,-1.46%
16-Feb-21,1799.00,1826.00,1827.10,1788.10,355.92K,-1.09%
15-Feb-21,1818.75,1820.90,1827.00,1815.60,-,-0.13%
14-Feb-21,1821.05,1822.45,1826.30,1820.15,-,-0.12%
12-Feb-21,1823.20,1825.40,1831.50,1810.10,171.90K,-0.20%
11-Feb-21,1826.80,1844.30,1848.60,1821.70,147.02K,-0.86%
10-Feb-21,1842.70,1838.30,1856.60,1834.00,176.44K,0.28%
9-Feb-21,1837.50,1832.40,1849.50,1830.30,154.39K,0.18%
8-Feb-21,1834.20,1818.10,1840.60,1807.30,177.56K,1.17%
5-Feb-21,1813.00,1794.30,1816.00,1792.20,205.76K,1.22%
4-Feb-21,1791.20,1834.50,1835.70,1784.60,279.62K,-2.39%
3-Feb-21,1835.10,1838.50,1845.90,1830.10,137.23K,0.09%
2-Feb-21,1833.40,1863.60,1866.30,1830.40,236.00K,-1.64%
1-Feb-21,1863.90,1865.00,1876.00,1851.70,242.05K,0.74%
29-Jan-21,1850.30,1845.60,1878.90,1841.20,276.17K,0.49%
28-Jan-21,1841.20,1847.20,1867.00,1835.60,277.59K,-0.42%
27-Jan-21,1848.90,1854.30,1855.70,1832.40,174.14K,-0.32%
26-Jan-21,1854.80,1858.70,1864.50,1851.10,91.25K,-0.23%
25-Jan-21,1859.00,1858.60,1870.90,1850.00,89.52K,-0.05%
22-Jan-21,1859.90,1874.00,1874.10,1839.70,77.97K,-0.50%
21-Jan-21,1869.30,1875.60,1878.10,1861.20,48.23K,-0.05%
20-Jan-21,1870.20,1843.20,1875.60,1834.80,52.60K,1.42%
19-Jan-21,1844.00,1832.30,1848.40,1804.70,90.42K,0.40%
18-Jan-21,1836.60,1809.65,1839.45,1809.65,-,1.48%
17-Jan-21,1809.75,1826.80,1829.10,1803.60,-,-1.31%
15-Jan-21,1833.70,1850.40,1860.20,1826.10,40.61K,-1.17%
14-Jan-21,1855.40,1849.40,1861.10,1830.40,73.07K,-0.18%
13-Jan-21,1858.80,1858.60,1866.50,1845.70,70.54K,0.57%
12-Jan-21,1848.20,1850.70,1867.80,1840.00,51.42K,-0.36%
11-Jan-21,1854.90,1852.90,1860.00,1821.30,54.96K,0.83%
8-Jan-21,1839.70,1921.60,1922.30,1832.00,56.15K,-4.08%
7-Jan-21,1918.00,1925.90,1933.80,1912.20,10.63K,0.26%
6-Jan-21,1913.00,1958.30,1966.80,1907.20,25.53K,-2.34%
5-Jan-21,1958.80,1950.70,1961.00,1942.80,12.67K,0.39%
4-Jan-21,1951.10,1912.50,1953.00,1911.30,16.79K,2.60%
1-Jan-21,1901.60,1901.60,1901.60,1901.60,-,0.11%
31-Dec-20,1899.60,1903.00,1909.20,1893.80,5.35K,0.09%
30-Dec-20,1897.80,1886.50,1903.00,1884.30,3.35K,0.56%
29-Dec-20,1887.30,1882.10,1895.20,1880.10,4.37K,0.13%
28-Dec-20,1884.80,1890.90,1908.00,1877.20,3.94K,-0.14%
24-Dec-20,1887.40,1881.80,1890.00,1877.30,2.57K,0.27%
23-Dec-20,1882.30,1869.40,1887.50,1865.80,2.30K,0.42%
22-Dec-20,1874.50,1886.90,1893.30,1868.00,4.15K,-0.66%
21-Dec-20,1887.00,1896.80,1915.40,1863.30,3.96K,-0.32%
18-Dec-20,1893.00,1894.80,1899.40,1886.20,2.55K,-0.08%
17-Dec-20,1894.50,1871.60,1906.00,1870.50,5.68K,1.69%
16-Dec-20,1863.00,1861.50,1873.60,1852.60,4.18K,0.19%
15-Dec-20,1859.40,1835.50,1863.00,1834.20,3.22K,1.27%
14-Dec-20,1836.10,1849.00,1849.00,1825.00,3.68K,-0.62%
11-Dec-20,1847.60,1844.60,1855.80,1831.00,4.30K,0.33%
10-Dec-20,1841.50,1847.50,1857.90,1836.60,4.64K,-0.06%
9-Dec-20,1842.60,1879.10,1879.10,1832.40,5.56K,-1.94%
8-Dec-20,1879.10,1869.80,1883.70,1868.20,4.14K,0.48%
7-Dec-20,1870.10,1846.70,1876.90,1829.20,8.07K,1.42%
4-Dec-20,1844.00,1847.90,1856.20,1836.10,4.88K,-0.04%
3-Dec-20,1844.70,1837.00,1850.70,1830.50,4.06K,0.59%
2-Dec-20,1833.90,1823.00,1839.20,1814.80,7.07K,0.61%
1-Dec-20,1822.80,1784.10,1824.70,1783.30,4.19K,2.13%
30-Nov-20,1784.80,1795.00,1797.00,1771.30,3.74K,-0.41%
27-Nov-20,1792.10,1816.70,1826.00,1781.20,7.72K,-0.82%
26-Nov-20,1807.00,1806.25,1816.80,1804.20,-,-0.45%
25-Nov-20,1815.10,1816.00,1825.10,1809.00,3.79K,0.01%
24-Nov-20,1815.00,1846.00,1846.60,1807.60,16.97K,-1.80%
23-Nov-20,1848.20,1878.90,1884.00,1838.50,8.09K,-1.82%
20-Nov-20,1882.40,1872.00,1888.80,1869.60,3.94K,0.60%
19-Nov-20,1871.10,1877.30,1879.40,1860.00,4.82K,-0.64%
18-Nov-20,1883.20,1892.10,1894.00,1870.40,4.66K,-0.66%
17-Nov-20,1895.80,1898.60,1902.90,1888.70,6.58K,-0.17%
16-Nov-20,1899.00,1900.60,1907.70,1874.30,3.58K,0.04%
13-Nov-20,1898.30,1886.80,1906.60,1886.00,3.65K,0.68%
12-Nov-20,1885.40,1878.60,1894.00,1872.80,5.42K,0.65%
11-Nov-20,1873.20,1890.40,1893.30,1866.10,7.57K,-0.81%
10-Nov-20,1888.50,1874.40,1900.00,1872.60,11.77K,1.18%
9-Nov-20,1866.40,1969.20,1978.20,1859.60,12.53K,-5.02%
6-Nov-20,1965.00,1961.60,1974.50,1950.10,6.17K,0.28%
5-Nov-20,1959.50,1916.40,1966.90,1916.40,8.26K,2.67%
4-Nov-20,1908.50,1926.80,1926.80,1894.80,5.84K,-0.72%
3-Nov-20,1922.40,1907.00,1924.00,1902.70,2.85K,0.92%
2-Nov-20,1904.80,1891.30,1908.30,1887.70,3.32K,0.66%
30-Oct-20,1892.40,1878.20,1903.00,1878.20,2.56K,0.63%
29-Oct-20,1880.50,1890.10,1897.40,1872.90,1.79K,-0.61%
28-Oct-20,1892.10,1921.20,1924.60,1882.00,1.40K,-1.70%
27-Oct-20,1924.90,1917.30,1926.40,1914.00,2.03K,0.31%
26-Oct-20,1919.00,1918.10,1924.10,1907.40,0.90K,0.03%
